# Source File Name = silicia_corpus.txt

# Memory Chunck Size = 2048

# Length in byte,Number of length,Total % of Length

154,48,99.8393
155,71,99.8399
156,48,99.8403
157,31,99.8406
158,59,99.8411
159,58,99.8416
160,43,99.8419
161,31,99.8422
162,42,99.8426
163,43,99.8429
164,66,99.8435
165,39,99.8438
166,29,99.8441
167,35,99.8444
168,39,99.8447
169,31,99.8449
170,47,99.8453
171,55,99.8458
172,44,99.8462
173,37,99.8465
174,65,99.847
175,38,99.8474
176,43,99.8477
177,33,99.848
178,25,99.8482
179,36,99.8485
180,51,99.849
181,56,99.8494
182,79,99.8501
183,61,99.8506
184,68,99.8512
185,30,99.8514
186,52,99.8519
187,44,99.8522
188,30,99.8525
189,39,99.8528
190,47,99.8532
191,57,99.8537
192,165,99.8551
193,57,99.8556
194,99,99.8564
195,41,99.8568
196,37,99.8571
197,173,99.8585
198,44,99.8589
199,27,99.8591
200,31,99.8594
201,51,99.8598
202,68,99.8604
203,64,99.8609
204,189,99.8625
205,198,99.8642
206,44,99.8646
207,34,99.8649
208,293,99.8673
209,821,99.8743
210,395,99.8776
211,41,99.878
212,41,99.8783
213,80,99.879
214,26,99.8792
215,64,99.8797
216,23,99.8799
217,15,99.8801
218,27,99.8803
219,12,99.8804
220,26,99.8806
221,38,99.8809
222,82,99.8816
223,94,99.8824
224,25,99.8826
225,29,99.8829
226,27,99.8831
227,31,99.8834
228,30,99.8836
229,14,99.8837
230,44,99.8841
231,63,99.8846
232,15,99.8848
233,17,99.8849
234,25,99.8851
235,13,99.8852
236,13,99.8853
237,22,99.8855
238,18,99.8857
239,33,99.886
240,24,99.8862
241,17,99.8863
242,18,99.8865
243,14,99.8866
244,9,99.8866
245,11,99.8867
246,14,99.8869
247,10,99.8869
248,16,99.8871
249,54,99.8875
250,158,99.8889
251,119,99.8899
252,315,99.8925
253,158,99.8939
254,468,99.8978
255,250,99.8999
256,838,99.907
257,328,99.9098
258,942,99.9177
259,257,99.9199
260,700,99.9258
261,164,99.9272
262,294,99.9297
263,43,99.93
264,340,99.9329
265,24,99.9331
266,184,99.9347
267,14,99.9348
268,455,99.9386
269,23,99.9388
270,224,99.9407
271,15,99.9408
272,755,99.9472
273,287,99.9496
274,371,99.9528
275,19,99.9529
276,935,99.9608
277,8,99.9609
278,239,99.9629
279,10,99.963
280,547,99.9676
281,8,99.9677
282,162,99.9691
283,12,99.9692
284,285,99.9716
285,15,99.9717
286,48,99.9721
287,6,99.9721
288,21,99.9723
289,11,99.9724
290,11,99.9725
291,6,99.9726
292,19,99.9727
293,6,99.9728
294,12,99.9729
295,9,99.973
296,10,99.973
297,10,99.9731
298,11,99.9732
299,11,99.9733
300,3,99.9733
301,7,99.9734
302,6,99.9734
303,8,99.9735
304,15,99.9736
305,13,99.9737
306,2,99.9738
307,8,99.9738
308,7,99.9739
309,10,99.974
310,5,99.974
311,8,99.9741
312,8,99.9742
313,10,99.9742
314,5,99.9743
315,18,99.9744
316,5,99.9745
317,9,99.9745
318,9,99.9746
319,9,99.9747
320,5,99.9747
321,12,99.9748
322,3,99.9749
323,1,99.9749
324,10,99.975
325,11,99.9751
326,6,99.9751
327,7,99.9752
328,7,99.9752
329,13,99.9753
330,3,99.9754
331,16,99.9755
332,7,99.9756
333,4,99.9756
334,6,99.9756
335,4,99.9757
336,10,99.9758
337,8,99.9758
338,6,99.9759
339,5,99.9759
340,6,99.976
341,4,99.976
342,10,99.9761
343,8,99.9762
344,8,99.9762
345,12,99.9763
346,4,99.9764
347,10,99.9764
348,10,99.9765
349,6,99.9766
350,44,99.9769
351,4,99.977
352,9,99.9771
353,167,99.9785
354,43,99.9788
355,89,99.9796
356,6,99.9796
357,7,99.9797
358,53,99.9801
359,18,99.9803
360,8,99.9804
361,15,99.9805
362,9,99.9806
363,11,99.9807
364,9,99.9807
365,6,99.9808
366,7,99.9808
367,9,99.9809
368,17,99.9811
369,14,99.9812
370,6,99.9812
371,9,99.9813
372,11,99.9814
373,12,99.9815
374,17,99.9816
375,10,99.9817
376,7,99.9818
377,13,99.9819
378,8,99.982
379,11,99.9821
380,11,99.9821
381,10,99.9822
382,7,99.9823
383,14,99.9824
384,15,99.9825
385,11,99.9826
386,19,99.9828
387,7,99.9828
388,15,99.983
389,11,99.9831
390,7,99.9831
391,19,99.9833
392,19,99.9834
393,14,99.9836
394,14,99.9837
395,13,99.9838
396,9,99.9839
397,4,99.9839
398,8,99.984
399,15,99.9841
400,15,99.9842
401,9,99.9843
402,15,99.9844
403,12,99.9845
404,13,99.9846
405,19,99.9848
406,11,99.9849
407,22,99.9851
408,12,99.9852
409,11,99.9853
410,10,99.9854
411,4,99.9854
412,8,99.9855
413,12,99.9856
414,11,99.9857
415,5,99.9857
416,5,99.9857
417,12,99.9858
418,4,99.9859
419,7,99.9859
420,5,99.986
421,5,99.986
422,5,99.9861
423,10,99.9861
424,4,99.9862
425,7,99.9862
426,9,99.9863
427,9,99.9864
428,3,99.9864
429,7,99.9865
430,5,99.9865
431,5,99.9866
432,6,99.9866
433,13,99.9867
434,13,99.9868
435,9,99.9869
436,3,99.9869
437,3,99.987
438,7,99.987
439,17,99.9872
440,10,99.9872
441,3,99.9873
442,5,99.9873
443,5,99.9873
444,6,99.9874
445,7,99.9875
446,2,99.9875
447,5,99.9875
448,6,99.9876
449,19,99.9877
450,5,99.9878
451,9,99.9878
452,10,99.9879
453,3,99.988
454,10,99.988
455,11,99.9881
456,8,99.9882
457,10,99.9883
458,4,99.9883
459,8,99.9884
460,8,99.9885
461,6,99.9885
462,4,99.9885
463,12,99.9886
464,9,99.9887
465,12,99.9888
466,6,99.9889
467,9,99.9889
468,8,99.989
469,7,99.9891
470,8,99.9891
471,6,99.9892
472,5,99.9892
473,4,99.9893
474,5,99.9893
475,13,99.9894
476,10,99.9895
477,5,99.9895
478,2,99.9896
479,4,99.9896
480,5,99.9896
481,8,99.9897
482,7,99.9898
483,6,99.9898
484,5,99.9899
485,7,99.9899
486,4,99.99
487,3,99.99
488,2,99.99
489,6,99.99
490,6,99.9901
491,5,99.9901
492,9,99.9902
493,4,99.9902
494,7,99.9903
495,2,99.9903
496,6,99.9904
497,9,99.9904
498,6,99.9905
499,11,99.9906
500,6,99.9906
501,3,99.9907
502,7,99.9907
503,6,99.9908
504,1,99.9908
505,5,99.9908
506,6,99.9909
507,8,99.9909
508,3,99.991
509,2,99.991
510,3,99.991
511,63,99.9915
512,0,99.9915
513,17,99.9917
514,2,99.9917
515,3,99.9917
516,2,99.9917
517,0,99.9917
518,1,99.9918
519,4,99.9918
520,1,99.9918
521,0,99.9918
522,3,99.9918
523,1,99.9918
524,1,99.9918
525,1,99.9919
526,0,99.9919
527,2,99.9919
528,9,99.9919
529,0,99.9919
530,0,99.9919
531,0,99.9919
532,1,99.992
533,0,99.992
534,1,99.992
535,0,99.992
536,0,99.992
537,1,99.992
538,0,99.992
539,4,99.992
540,0,99.992
541,0,99.992
542,1,99.992
543,4,99.992
544,0,99.992
545,0,99.992
546,1,99.9921
547,0,99.9921
548,0,99.9921
549,0,99.9921
550,3,99.9921
551,0,99.9921
552,2,99.9921
553,2,99.9921
554,0,99.9921
555,8,99.9922
556,1,99.9922
557,6,99.9922
558,1,99.9922
559,0,99.9922
560,0,99.9922
561,0,99.9922
562,1,99.9923
563,3,99.9923
564,2,99.9923
565,1,99.9923
566,2,99.9923
567,0,99.9923
568,3,99.9923
569,1,99.9924
570,2,99.9924
571,3,99.9924
572,1,99.9924
573,1,99.9924
574,0,99.9924
575,1,99.9924
576,2,99.9924
577,1,99.9925
578,1,99.9925
579,0,99.9925
580,1,99.9925
581,0,99.9925
582,2,99.9925
583,2,99.9925
584,6,99.9926
585,0,99.9926
586,0,99.9926
587,2,99.9926
588,0,99.9926
589,2,99.9926
590,1,99.9926
591,0,99.9926
592,0,99.9926
593,0,99.9926
594,0,99.9926
595,0,99.9926
596,0,99.9926
597,0,99.9926
598,0,99.9926
599,0,99.9926
600,1,99.9926
601,1,99.9926
602,2,99.9926
603,2,99.9926
604,0,99.9926
605,0,99.9926
606,1,99.9927
607,1,99.9927
608,0,99.9927
609,1,99.9927
610,1,99.9927
611,1,99.9927
612,0,99.9927
613,2,99.9927
614,0,99.9927
615,0,99.9927
616,1,99.9927
617,1,99.9927
618,2,99.9927
619,2,99.9928
620,0,99.9928
621,0,99.9928
622,0,99.9928
623,0,99.9928
624,0,99.9928
625,0,99.9928
626,0,99.9928
627,0,99.9928
628,0,99.9928
629,1,99.9928
630,0,99.9928
631,0,99.9928
632,1,99.9928
633,0,99.9928
634,1,99.9928
635,1,99.9928
636,0,99.9928
637,1,99.9928
638,1,99.9928
639,0,99.9928
640,0,99.9928
641,2,99.9928
642,0,99.9928
643,0,99.9928
644,0,99.9928
645,1,99.9928
646,0,99.9928
647,0,99.9928
648,2,99.9928
649,0,99.9928
650,0,99.9928
651,0,99.9928
652,0,99.9928
653,0,99.9928
654,0,99.9928
655,0,99.9928
656,1,99.9929
657,0,99.9929
658,0,99.9929
659,0,99.9929
660,0,99.9929
661,0,99.9929
662,0,99.9929
663,0,99.9929
664,0,99.9929
665,0,99.9929
666,0,99.9929
667,2,99.9929
668,0,99.9929
669,1,99.9929
670,0,99.9929
671,1,99.9929
672,0,99.9929
673,0,99.9929
674,2,99.9929
675,1,99.9929
676,0,99.9929
677,0,99.9929
678,0,99.9929
679,2,99.9929
680,1,99.9929
681,0,99.9929
682,1,99.9929
683,2,99.993
684,1,99.993
685,0,99.993
686,0,99.993
687,1,99.993
688,0,99.993
689,2,99.993
690,0,99.993
691,0,99.993
692,0,99.993
693,0,99.993
694,1,99.993
695,1,99.993
696,2,99.993
697,0,99.993
698,0,99.993
699,1,99.993
700,3,99.9931
701,1,99.9931
702,0,99.9931
703,0,99.9931
704,2,99.9931
705,0,99.9931
706,1,99.9931
707,2,99.9931
708,0,99.9931
709,1,99.9931
710,1,99.9931
711,0,99.9931
712,0,99.9931
713,0,99.9931
714,1,99.9931
715,0,99.9931
716,1,99.9932
717,0,99.9932
718,1,99.9932
719,0,99.9932
720,1,99.9932
721,1,99.9932
722,1,99.9932
723,0,99.9932
724,0,99.9932
725,0,99.9932
726,1,99.9932
727,0,99.9932
728,0,99.9932
729,0,99.9932
730,0,99.9932
731,1,99.9932
732,0,99.9932
733,2,99.9932
734,1,99.9932
735,0,99.9932
736,0,99.9932
737,0,99.9932
738,0,99.9932
739,0,99.9932
740,1,99.9932
741,0,99.9932
742,0,99.9932
743,0,99.9932
744,1,99.9932
745,0,99.9932
746,0,99.9932
747,2,99.9933
748,1,99.9933
749,0,99.9933
750,0,99.9933
751,1,99.9933
752,0,99.9933
753,0,99.9933
754,0,99.9933
755,0,99.9933
756,0,99.9933
757,0,99.9933
758,1,99.9933
759,0,99.9933
760,0,99.9933
761,0,99.9933
762,2,99.9933
763,2,99.9933
764,0,99.9933
765,0,99.9933
766,0,99.9933
767,0,99.9933
768,0,99.9933
769,0,99.9933
770,6,99.9934
771,0,99.9934
772,2,99.9934
773,1,99.9934
774,1,99.9934
775,0,99.9934
776,0,99.9934
777,0,99.9934
778,1,99.9934
779,0,99.9934
780,1,99.9934
781,0,99.9934
782,1,99.9934
783,0,99.9934
784,0,99.9934
785,1,99.9934
786,0,99.9934
787,0,99.9934
788,0,99.9934
789,0,99.9934
790,0,99.9934
791,0,99.9934
792,0,99.9934
793,0,99.9934
794,0,99.9934
795,2,99.9935
796,0,99.9935
797,0,99.9935
798,0,99.9935
799,0,99.9935
800,0,99.9935
801,0,99.9935
802,0,99.9935
803,0,99.9935
804,0,99.9935
805,0,99.9935
806,0,99.9935
807,0,99.9935
808,0,99.9935
809,0,99.9935
810,0,99.9935
811,2,99.9935
812,0,99.9935
813,0,99.9935
814,0,99.9935
815,0,99.9935
816,0,99.9935
817,0,99.9935
818,0,99.9935
819,1,99.9935
820,0,99.9935
821,1,99.9935
822,0,99.9935
823,0,99.9935
824,0,99.9935
825,0,99.9935
826,0,99.9935
827,1,99.9935
828,0,99.9935
829,0,99.9935
830,1,99.9935
831,1,99.9935
832,0,99.9935
833,1,99.9935
834,0,99.9935
835,1,99.9935
836,0,99.9935
837,0,99.9935
838,0,99.9935
839,0,99.9935
840,0,99.9935
841,1,99.9935
842,0,99.9935
843,0,99.9935
844,0,99.9935
845,0,99.9935
846,1,99.9935
847,0,99.9935
848,0,99.9935
849,0,99.9935
850,1,99.9936
851,2,99.9936
852,1,99.9936
853,0,99.9936
854,0,99.9936
855,0,99.9936
856,0,99.9936
857,0,99.9936
858,0,99.9936
859,0,99.9936
860,0,99.9936
861,0,99.9936
862,1,99.9936
863,0,99.9936
864,0,99.9936
865,0,99.9936
866,1,99.9936
867,0,99.9936
868,0,99.9936
869,2,99.9936
870,0,99.9936
871,0,99.9936
872,0,99.9936
873,0,99.9936
874,2,99.9936
875,0,99.9936
876,0,99.9936
877,0,99.9936
878,0,99.9936
879,0,99.9936
880,0,99.9936
881,0,99.9936
882,0,99.9936
883,1,99.9936
884,0,99.9936
885,0,99.9936
886,1,99.9936
887,0,99.9936
888,0,99.9936
889,0,99.9936
890,0,99.9936
891,0,99.9936
892,0,99.9936
893,0,99.9936
894,0,99.9936
895,0,99.9936
896,0,99.9936
897,0,99.9936
898,0,99.9936
899,2,99.9937
900,0,99.9937
901,0,99.9937
902,0,99.9937
903,0,99.9937
904,0,99.9937
905,0,99.9937
906,0,99.9937
907,2,99.9937
908,0,99.9937
909,0,99.9937
910,0,99.9937
911,0,99.9937
912,0,99.9937
913,0,99.9937
914,0,99.9937
915,0,99.9937
916,0,99.9937
917,0,99.9937
918,0,99.9937
919,0,99.9937
920,0,99.9937
921,0,99.9937
922,0,99.9937
923,0,99.9937
924,0,99.9937
925,0,99.9937
926,0,99.9937
927,0,99.9937
928,1,99.9937
929,0,99.9937
930,0,99.9937
931,1,99.9937
932,0,99.9937
933,0,99.9937
934,0,99.9937
935,0,99.9937
936,0,99.9937
937,0,99.9937
938,0,99.9937
939,0,99.9937
940,0,99.9937
941,0,99.9937
942,0,99.9937
943,0,99.9937
944,0,99.9937
945,0,99.9937
946,0,99.9937
947,0,99.9937
948,0,99.9937
949,0,99.9937
950,0,99.9937
951,0,99.9937
952,0,99.9937
953,0,99.9937
954,0,99.9937
955,1,99.9937
956,0,99.9937
957,0,99.9937
958,0,99.9937
959,0,99.9937
960,0,99.9937
961,0,99.9937
962,0,99.9937
963,0,99.9937
964,0,99.9937
965,1,99.9937
966,0,99.9937
967,1,99.9937
968,0,99.9937
969,0,99.9937
970,0,99.9937
971,3,99.9938
972,0,99.9938
973,0,99.9938
974,0,99.9938
975,0,99.9938
976,0,99.9938
977,0,99.9938
978,0,99.9938
979,0,99.9938
980,0,99.9938
981,0,99.9938
982,0,99.9938
983,0,99.9938
984,0,99.9938
985,0,99.9938
986,1,99.9938
987,3,99.9938
988,0,99.9938
989,0,99.9938
990,0,99.9938
991,0,99.9938
992,0,99.9938
993,0,99.9938
994,0,99.9938
995,0,99.9938
996,0,99.9938
997,0,99.9938
998,1,99.9938
999,0,99.9938
1000,0,99.9938
1001,0,99.9938
1002,0,99.9938
1003,1,99.9938
1004,0,99.9938
1005,0,99.9938
1006,0,99.9938
1007,0,99.9938
1008,0,99.9938
1009,0,99.9938
1010,1,99.9938
1011,1,99.9938
1012,0,99.9938
1013,0,99.9938
1014,0,99.9938
1015,0,99.9938
1016,0,99.9938
1017,0,99.9938
1018,0,99.9938
1019,2,99.9938
1020,0,99.9938
1021,0,99.9938
1022,0,99.9938
1023,43,99.9942
1024,0,99.9942
1025,12,99.9943
1026,0,99.9943
1027,1,99.9943
1028,0,99.9943
1029,0,99.9943
1030,0,99.9943
1031,0,99.9943
1032,0,99.9943
1033,0,99.9943
1034,0,99.9943
1035,0,99.9943
1036,0,99.9943
1037,0,99.9943
1038,0,99.9943
1039,1,99.9943
1040,0,99.9943
1041,0,99.9943
1042,0,99.9943
1043,0,99.9943
1044,0,99.9943
1045,0,99.9943
1046,0,99.9943
1047,0,99.9943
1048,0,99.9943
1049,0,99.9943
1050,0,99.9943
1051,0,99.9943
1052,0,99.9943
1053,0,99.9943
1054,0,99.9943
1055,0,99.9943
1056,0,99.9943
1057,0,99.9943
1058,1,99.9943
1059,0,99.9943
1060,0,99.9943
1061,0,99.9943
1062,0,99.9943
1063,0,99.9943
1064,0,99.9943
1065,0,99.9943
1066,0,99.9943
1067,2,99.9943
1068,0,99.9943
1069,0,99.9943
1070,0,99.9943
1071,0,99.9943
1072,0,99.9943
1073,0,99.9943
1074,0,99.9943
1075,0,99.9943
1076,0,99.9943
1077,0,99.9943
1078,0,99.9943
1079,0,99.9943
1080,0,99.9943
1081,0,99.9943
1082,1,99.9944
1083,0,99.9944
1084,0,99.9944
1085,0,99.9944
1086,0,99.9944
1087,0,99.9944
1088,0,99.9944
1089,0,99.9944
1090,0,99.9944
1091,0,99.9944
1092,0,99.9944
1093,0,99.9944
1094,0,99.9944
1095,0,99.9944
1096,0,99.9944
1097,0,99.9944
1098,0,99.9944
1099,1,99.9944
1100,0,99.9944
1101,0,99.9944
1102,0,99.9944
1103,0,99.9944
1104,0,99.9944
1105,0,99.9944
1106,0,99.9944
1107,1,99.9944
1108,0,99.9944
1109,0,99.9944
1110,0,99.9944
1111,0,99.9944
1112,0,99.9944
1113,0,99.9944
1114,0,99.9944
1115,4,99.9944
1116,0,99.9944
1117,0,99.9944
1118,0,99.9944
1119,0,99.9944
1120,1,99.9944
1121,0,99.9944
1122,0,99.9944
1123,1,99.9944
1124,0,99.9944
1125,0,99.9944
1126,0,99.9944
1127,1,99.9944
1128,0,99.9944
1129,0,99.9944
1130,0,99.9944
1131,2,99.9944
1132,0,99.9944
1133,0,99.9944
1134,0,99.9944
1135,0,99.9944
1136,0,99.9944
1137,0,99.9944
1138,0,99.9944
1139,1,99.9945
1140,0,99.9945
1141,0,99.9945
1142,1,99.9945
1143,0,99.9945
1144,0,99.9945
1145,0,99.9945
1146,0,99.9945
1147,1,99.9945
1148,0,99.9945
1149,0,99.9945
1150,0,99.9945
1151,0,99.9945
1152,1,99.9945
1153,0,99.9945
1154,0,99.9945
1155,0,99.9945
1156,0,99.9945
1157,0,99.9945
1158,1,99.9945
1159,0,99.9945
1160,0,99.9945
1161,0,99.9945
1162,0,99.9945
1163,4,99.9945
1164,0,99.9945
1165,0,99.9945
1166,0,99.9945
1167,0,99.9945
1168,0,99.9945
1169,0,99.9945
1170,0,99.9945
1171,0,99.9945
1172,0,99.9945
1173,0,99.9945
1174,0,99.9945
1175,0,99.9945
1176,0,99.9945
1177,0,99.9945
1178,0,99.9945
1179,0,99.9945
1180,0,99.9945
1181,0,99.9945
1182,0,99.9945
1183,0,99.9945
1184,0,99.9945
1185,0,99.9945
1186,1,99.9945
1187,3,99.9946
1188,0,99.9946
1189,0,99.9946
1190,0,99.9946
1191,0,99.9946
1192,0,99.9946
1193,0,99.9946
1194,0,99.9946
1195,0,99.9946
1196,0,99.9946
1197,1,99.9946
1198,1,99.9946
1199,1,99.9946
1200,0,99.9946
1201,0,99.9946
1202,1,99.9946
1203,2,99.9946
1204,0,99.9946
1205,0,99.9946
1206,0,99.9946
1207,0,99.9946
1208,0,99.9946
1209,0,99.9946
1210,0,99.9946
1211,1,99.9946
1212,0,99.9946
1213,1,99.9946
1214,0,99.9946
1215,0,99.9946
1216,0,99.9946
1217,0,99.9946
1218,0,99.9946
1219,1,99.9946
1220,0,99.9946
1221,0,99.9946
1222,0,99.9946
1223,0,99.9946
1224,1,99.9946
1225,0,99.9946
1226,0,99.9946
1227,0,99.9946
1228,0,99.9946
1229,0,99.9946
1230,0,99.9946
1231,0,99.9946
1232,0,99.9946
1233,0,99.9946
1234,0,99.9946
1235,2,99.9947
1236,0,99.9947
1237,0,99.9947
1238,0,99.9947
1239,0,99.9947
1240,0,99.9947
1241,0,99.9947
1242,0,99.9947
1243,0,99.9947
1244,0,99.9947
1245,0,99.9947
1246,0,99.9947
1247,0,99.9947
1248,0,99.9947
1249,0,99.9947
1250,0,99.9947
1251,1,99.9947
1252,0,99.9947
1253,0,99.9947
1254,0,99.9947
1255,0,99.9947
1256,1,99.9947
1257,0,99.9947
1258,0,99.9947
1259,1,99.9947
1260,0,99.9947
1261,0,99.9947
1262,0,99.9947
1263,0,99.9947
1264,0,99.9947
1265,0,99.9947
1266,0,99.9947
1267,1,99.9947
1268,0,99.9947
1269,0,99.9947
1270,0,99.9947
1271,0,99.9947
1272,0,99.9947
1273,0,99.9947
1274,0,99.9947
1275,4,99.9947
1276,0,99.9947
1277,0,99.9947
1278,0,99.9947
1279,1,99.9947
1280,0,99.9947
1281,0,99.9947
1282,0,99.9947
1283,0,99.9947
1284,0,99.9947
1285,1,99.9947
1286,0,99.9947
1287,0,99.9947
1288,0,99.9947
1289,0,99.9947
1290,0,99.9947
1291,0,99.9947
1292,1,99.9947
1293,0,99.9947
1294,0,99.9947
1295,0,99.9947
1296,0,99.9947
1297,0,99.9947
1298,0,99.9947
1299,0,99.9947
1300,0,99.9947
1301,0,99.9947
1302,1,99.9948
1303,0,99.9948
1304,1,99.9948
1305,0,99.9948
1306,0,99.9948
1307,1,99.9948
1308,0,99.9948
1309,1,99.9948
1310,0,99.9948
1311,0,99.9948
1312,0,99.9948
1313,0,99.9948
1314,1,99.9948
1315,1,99.9948
1316,0,99.9948
1317,0,99.9948
1318,0,99.9948
1319,0,99.9948
1320,0,99.9948
1321,0,99.9948
1322,0,99.9948
1323,0,99.9948
1324,0,99.9948
1325,0,99.9948
1326,0,99.9948
1327,0,99.9948
1328,0,99.9948
1329,0,99.9948
1330,0,99.9948
1331,0,99.9948
1332,0,99.9948
1333,0,99.9948
1334,0,99.9948
1335,0,99.9948
1336,0,99.9948
1337,1,99.9948
1338,1,99.9948
1339,1,99.9948
1340,0,99.9948
1341,0,99.9948
1342,0,99.9948
1343,0,99.9948
1344,0,99.9948
1345,0,99.9948
1346,0,99.9948
1347,1,99.9948
1348,0,99.9948
1349,0,99.9948
1350,0,99.9948
1351,0,99.9948
1352,0,99.9948
1353,1,99.9948
1354,0,99.9948
1355,2,99.9949
1356,0,99.9949
1357,0,99.9949
1358,0,99.9949
1359,0,99.9949
1360,0,99.9949
1361,0,99.9949
1362,0,99.9949
1363,0,99.9949
1364,0,99.9949
1365,0,99.9949
1366,0,99.9949
1367,0,99.9949
1368,0,99.9949
1369,0,99.9949
1370,0,99.9949
1371,1,99.9949
1372,0,99.9949
1373,0,99.9949
1374,0,99.9949
1375,1,99.9949
1376,0,99.9949
1377,0,99.9949
1378,1,99.9949
1379,0,99.9949
1380,0,99.9949
1381,0,99.9949
1382,0,99.9949
1383,0,99.9949
1384,0,99.9949
1385,0,99.9949
1386,0,99.9949
1387,2,99.9949
1388,0,99.9949
1389,0,99.9949
1390,0,99.9949
1391,1,99.9949
1392,0,99.9949
1393,1,99.9949
1394,0,99.9949
1395,0,99.9949
1396,0,99.9949
1397,0,99.9949
1398,0,99.9949
1399,0,99.9949
1400,0,99.9949
1401,0,99.9949
1402,0,99.9949
1403,3,99.9949
1404,0,99.9949
1405,0,99.9949
1406,0,99.9949
1407,0,99.9949
1408,0,99.9949
1409,0,99.9949
1410,0,99.9949
1411,0,99.9949
1412,0,99.9949
1413,0,99.9949
1414,0,99.9949
1415,0,99.9949
1416,0,99.9949
1417,0,99.9949
1418,0,99.9949
1419,2,99.995
1420,0,99.995
1421,1,99.995
1422,0,99.995
1423,0,99.995
1424,0,99.995
1425,0,99.995
1426,0,99.995
1427,0,99.995
1428,0,99.995
1429,0,99.995
1430,0,99.995
1431,0,99.995
1432,0,99.995
1433,0,99.995
1434,0,99.995
1435,1,99.995
1436,0,99.995
1437,0,99.995
1438,0,99.995
1439,0,99.995
1440,0,99.995
1441,0,99.995
1442,0,99.995
1443,1,99.995
1444,0,99.995
1445,1,99.995
1446,0,99.995
1447,0,99.995
1448,0,99.995
1449,0,99.995
1450,0,99.995
1451,0,99.995
1452,0,99.995
1453,0,99.995
1454,0,99.995
1455,1,99.995
1456,0,99.995
1457,0,99.995
1458,0,99.995
1459,1,99.995
1460,0,99.995
1461,0,99.995
1462,0,99.995
1463,0,99.995
1464,0,99.995
1465,0,99.995
1466,0,99.995
1467,6,99.9951
1468,0,99.9951
1469,0,99.9951
1470,0,99.9951
1471,0,99.9951
1472,0,99.9951
1473,0,99.9951
1474,0,99.9951
1475,0,99.9951
1476,0,99.9951
1477,0,99.9951
1478,0,99.9951
1479,0,99.9951
1480,0,99.9951
1481,1,99.9951
1482,0,99.9951
1483,0,99.9951
1484,0,99.9951
1485,0,99.9951
1486,0,99.9951
1487,0,99.9951
1488,0,99.9951
1489,0,99.9951
1490,0,99.9951
1491,0,99.9951
1492,0,99.9951
1493,0,99.9951
1494,0,99.9951
1495,0,99.9951
